<file path="domain_index.md" total_lines="494" shown_lines="1-50" truncated="true" next_start_line="51">
     1│ # 领域标签索引 (Domain Index)
     2│ 
     3│ > 自动生成时间: 2026-05-17 | 总对话数: 488 | 领域数: 10
     4│ 
     5│ | 对话文件名 | 领域标签 |
     6│ |-----------|---------|
     7│ | 13英寸等于3302厘米.md | 数学与自然科学 |
     8│ | 1500A铜导线粗细.md | 硬件与工程 |
     9│ | 2026年TTS模型推荐.md | AI与编程开发 |
    10│ | 20磅转换为千克计算.md | 数学与自然科学 |
    11│ | 3DS和NDS农场经营游戏推荐.md | 游戏与娱乐 |
    12│ | 3DS和NDS游戏推荐及双屏掌机体验建议.md | 游戏与娱乐 |
    13│ | 3DS游戏推荐及分类指南.md | 游戏与娱乐 |
    14│ | 64位操作系统和操作系统支持6.md | 计算机与操作系统 |
    15│ | 7B内图像生成模型推荐.md | AI与编程开发 |
    16│ | ADHD患者认知优化与创伤修复方案.md | 健康与医学 |
    17│ | AI判断与社交行为分析.md | AI与编程开发 |
    18│ | AI回复谨慎甄别标签情况说明.md | AI与编程开发 |
    19│ | AI对色情图片的反应机制.md | AI与编程开发 |
    20│ | AI项目token消耗估算.md | AI与编程开发 |
    21│ | API缓存命中未命中解释.md | AI与编程开发 |
    22│ | BMI70高血压患者健康隐患解析.md | 健康与医学 |
    23│ | CV工程师梗解析.md | 人文与知识 |
    24│ | Caudate Sonnet简介及结构解析.md | 人文与知识 |
    25│ | Claude Code使用指南.md | AI与编程开发 |
    26│ | Claude Code国内源切换与升级指南.md | AI与编程开发 |
    27│ | Claude Code技能市场指南.md | AI与编程开发 |
    28│ | Claude Code版本对比表格.md | AI与编程开发 |
    29│ | Claude Desktop 与配置管理解析.md | AI与编程开发 |
    30│ | Claude自动放行命令.md | AI与编程开发 |
    31│ | Codex工具介绍.md | AI与编程开发 |
    32│ | CrystalDiskInfo VS2026 编译组件指南.md | AI与编程开发 |
    33│ | C语言程序求两数和.md | AI与编程开发 |
    34│ | DHA与充足睡眠提升情绪平静感.md | 健康与医学 |
    35│ | DHA补充过量影响睡眠调整建议.md | 健康与医学 |
    36│ | DNA不会通过呼吸释放主要来自细胞脱落.md | 人文与知识 |
    37│ | DVDVCDDC的时候区别.md | 游戏与娱乐 |
    38│ | DeepSeek API模型版本.md | AI与编程开发 |
    39│ | DeepSeek V4 API 联网搜索与 MCP 工具调用.md | AI与编程开发 |
    40│ | DeepSeekV4论文国内下载渠道.md | AI与编程开发 |
    41│ | DeepSeek对话批量导出方法.md | AI与编程开发 |
    42│ | Docker部署模型优势解析.md | AI与编程开发 |
    43│ | DuckDuckGo MCP 配置方法.md | AI与编程开发 |
    44│ | EA与育碧游戏公司对比.md | 游戏与娱乐 |
    45│ | Edge收藏夹文件位置及备份方法.md | 计算机与操作系统 |
    46│ | Effective Sparse Adversarial Attacks on SNNs.md | 人文与知识 |
    47│ | Excel VBA代码存储位置与编辑工具.md | AI与编程开发 |
    48│ | Excel分析工具重构方案设计.md | AI与编程开发 |
    49│ | Excel工具开发与打包.md | AI与编程开发 |
    50│ | Excel工具开发提示词生成.md | AI与编程开发 |

[TRUNCATED] Showing lines 1-50 of 494. To continue, call read_file with path="domain_index.md" start_line=51 max_lines=50
</file>
